customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureSegment,MonthlyChargesSegment,ContractSegment,LTV,HighRiskHighValue
5365,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2504,0,0-12 mois,0-30$,Month-to-Month,29.85,False
3953,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1465,0,24-48 mois,30-60$,One Year,1936.3000000000002,False
2558,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,156,1,0-12 mois,30-60$,Month-to-Month,107.7,False
5524,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1399,0,24-48 mois,30-60$,One Year,1903.4999999999998,False
6500,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,924,1,0-12 mois,60-90$,Month-to-Month,141.4,False
6540,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6103,1,0-12 mois,90+$,Month-to-Month,797.2,False
1001,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1549,0,12-24 mois,60-90$,Month-to-Month,1960.1999999999998,False
4760,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2608,0,0-12 mois,0-30$,Month-to-Month,297.5,False
5593,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2645,1,24-48 mois,90+$,Month-to-Month,2934.4,False
4524,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3021,0,48-72 mois,30-60$,One Year,3481.2999999999997,False
6860,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4822,0,12-24 mois,30-60$,Month-to-Month,649.35,False
5278,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2835,0,12-24 mois,0-30$,Two Year,303.2,False
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4692,0,48-72 mois,90+$,One Year,5820.299999999999,False
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4264,1,48-72 mois,90+$,Month-to-Month,5081.3,True
3606,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2336,0,24-48 mois,90+$,Month-to-Month,2637.5,False
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5958,0,48-72 mois,90+$,Two Year,7814.25,False
5809,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,45,0,48-72 mois,0-30$,One Year,1073.8,False
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5703,0,48-72 mois,90+$,Two Year,7575.7,False
2930,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4415,1,0-12 mois,30-60$,Month-to-Month,552.0,False
2921,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1432,0,12-24 mois,90+$,Month-to-Month,1891.05,False
6196,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3339,1,0-12 mois,30-60$,Month-to-Month,39.65,False
1140,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1650,0,0-12 mois,0-30$,One Year,237.60000000000002,False
723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1608,1,0-12 mois,0-30$,Month-to-Month,20.15,False
2535,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3040,0,48-72 mois,30-60$,Two Year,3474.2,False
4469,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2566,0,48-72 mois,30-60$,Month-to-Month,2920.4,False
4863,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,958,0,24-48 mois,30-60$,Month-to-Month,1659.0,False
4574,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4018,1,24-48 mois,90+$,Month-to-Month,4669.45,True
6108,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2591,1,0-12 mois,30-60$,Month-to-Month,30.2,False
3724,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5134,0,48-72 mois,90+$,Two Year,6498.0,False
6188,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,183,1,12-24 mois,60-90$,Month-to-Month,1099.9,False
2694,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5353,0,48-72 mois,90+$,Two Year,6840.849999999999,False
3472,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1359,0,0-12 mois,90+$,Month-to-Month,191.0,False
4834,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1448,0,24-48 mois,60-90$,One Year,1786.0500000000002,False
5184,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1609,0,0-12 mois,0-30$,Month-to-Month,20.2,False
2378,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3814,0,0-12 mois,30-60$,Month-to-Month,45.25,False
4413,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5643,0,48-72 mois,90+$,Two Year,7192.8,False
4282,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2741,1,0-12 mois,60-90$,Month-to-Month,348.5,False
4646,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3072,0,24-48 mois,60-90$,Month-to-Month,3440.7999999999997,False
3819,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3073,1,24-48 mois,90+$,Month-to-Month,3615.8999999999996,False
5792,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,201,1,0-12 mois,90+$,Month-to-Month,1076.35,False
6252,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4023,0,0-12 mois,30-60$,One Year,495.5,False
6660,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4117,0,48-72 mois,60-90$,Two Year,4844.0,False
6945,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3571,0,12-24 mois,0-30$,One Year,352.75,False
3259,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4104,0,48-72 mois,60-90$,Two Year,5030.549999999999,False
2855,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6502,0,12-24 mois,60-90$,Month-to-Month,990.6,False
2593,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3347,0,48-72 mois,60-90$,Month-to-Month,4140.5,False
4202,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6480,0,0-12 mois,30-60$,Month-to-Month,98.5,False
5499,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,808,1,0-12 mois,60-90$,Month-to-Month,161.3,False
5417,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3598,0,48-72 mois,60-90$,Two Year,4147.0,False
2043,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3624,0,48-72 mois,60-90$,Two Year,4426.35,False
5675,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3284,0,24-48 mois,90+$,Month-to-Month,3880.75,False
6619,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,788,1,12-24 mois,90+$,Month-to-Month,1486.5,False
4648,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1274,0,24-48 mois,60-90$,Month-to-Month,1737.5,False
5295,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5112,1,0-12 mois,60-90$,Month-to-Month,645.2,False
3256,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3781,0,48-72 mois,60-90$,One Year,4491.0,False
1128,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1273,1,12-24 mois,90+$,Month-to-Month,1718.1000000000001,False
6187,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5103,0,48-72 mois,90+$,One Year,6277.950000000001,False
3569,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5554,0,48-72 mois,90+$,One Year,7157.7,False
2777,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6313,0,24-48 mois,0-30$,Two Year,848.3,False
4208,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5936,0,48-72 mois,90+$,Two Year,7740.0,False
295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3984,0,24-48 mois,90+$,Month-to-Month,4723.5,False
832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4529,0,48-72 mois,60-90$,Month-to-Month,5394.0,False
358,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2557,0,48-72 mois,30-60$,Two Year,3031.2000000000003,False
374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6458,0,12-24 mois,30-60$,One Year,979.1999999999999,False
4034,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6233,1,0-12 mois,90+$,Month-to-Month,849.6,False
3600,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2085,0,0-12 mois,60-90$,Month-to-Month,225.89999999999998,False
6079,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3156,0,24-48 mois,60-90$,One Year,3708.3,False
2376,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2142,0,24-48 mois,60-90$,Two Year,2455.2000000000003,False
2210,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6398,0,48-72 mois,0-30$,Two Year,1007.4999999999999,False
5252,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6289,0,0-12 mois,60-90$,Month-to-Month,798.5,False
1561,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4136,0,0-12 mois,30-60$,Month-to-Month,49.05,False
501,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,180,0,48-72 mois,0-30$,One Year,1060.8,False
1271,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5562,0,48-72 mois,90+$,Two Year,7142.4,False
5686,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,784,0,48-72 mois,0-30$,Two Year,1503.5,False
3985,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1294,0,0-12 mois,60-90$,Month-to-Month,193.5,False
1834,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5008,0,48-72 mois,90+$,One Year,6188.0,False
4540,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2338,0,24-48 mois,30-60$,One Year,2559.9,False
3961,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4070,0,0-12 mois,30-60$,Month-to-Month,437.2,False
